Image_Name,Ori_Mutual_Info,Ori_Error(deg),GT_Z
img013147.jpg,0.375970809,3.028789758,5.699666977
img007962.jpg,0.363461717,12.23821428,8.317062378
img007691.jpg,0.360693678,6.310713156,7.158576965
img006868.jpg,0.357275357,13.14476565,26.17490768
img013732.jpg,0.340416592,6.022068508,4.765193939
img006619.jpg,0.338180221,7.165653057,8.936444283
img008881.jpg,0.326932024,9.441314141,4.12816
img010134.jpg,0.319592912,8.514251711,11.34353065
img010219.jpg,0.31803859,8.781586169,5.72989893
img006360.jpg,0.317693102,9.346558926,16.51682854
img002218.jpg,0.317464256,7.732389711,6.454963207
img009244.jpg,0.307824919,8.873973869,7.378384113
img001036.jpg,0.306454172,7.590900635,7.546230793
img003060.jpg,0.299393531,13.14416886,11.4231348
img013916.jpg,0.299115372,8.042630564,7.007483006
