Image_Name,Loc_Error(m),Ori_Error(deg),ESA_Score,GT_Distance(Z),GT_X,GT_Y,GT_Z,Loc_Error_X,Loc_Error_Y,Loc_Error_Z,Ori_Encoded_Error,Loc_Epistemic_Unc_X,Loc_Epistemic_Unc_Y,Loc_Epistemic_Unc_Z,Ori_Entropy,Ori_Expected_Entropy,Ori_Mutual_Info,Ori_Var_Mean
img004657.jpg,0.115039103,6.039726255,0.122674504,6.656291008,-0.089777,0.318908989,6.656291008,0.112421043,0.00665313,0.023478508,1.672529553,0.003803253,0.002977371,0.100708008,5.170998345,5.033211556,0.137786789,5.96E-07
img001637.jpg,0.888846159,6.579476404,0.153744191,22.8368969,0.416087002,0.342325985,22.8368969,0.113352627,0.153361142,0.868146896,2.320568083,0.011405945,0.014427185,0.692382813,5.167928218,4.934993006,0.232935212,1.55E-06
img006282.jpg,0.259509355,11.38122618,0.211868846,19.6071701,-0.466437995,-0.397073001,19.6071701,0.03455323,0.050436765,0.252204895,7.868453056,0.009872437,0.008781433,0.462402344,5.61378441,5.410248596,0.203535814,5.36E-07
img014238.jpg,0.572256446,4.958142748,0.124524638,15.0476017,-0.219530001,-0.664159,15.0476017,0.083787814,0.232030094,0.5163517,3.657695647,0.004455566,0.008468628,0.172729492,5.135957821,4.982174537,0.153783283,7.75E-07
img012015.jpg,0.499686122,7.409295297,0.15865639,17.02290726,0.418624997,0.317027003,17.02290726,0.149093747,0.029164404,0.476032257,1.982211397,0.007888794,0.010955811,0.553710938,5.360528889,5.108909711,0.251619178,1.25E-06
img011742.jpg,0.15322417,1.866283023,0.049155572,9.239779472,0.053888999,0.01688,9.239779472,0.036870278,0.061916389,0.135220528,3.457685937,0.001476288,0.000874996,0.026779175,4.914640171,4.730593742,0.184046429,1.13E-06
img007730.jpg,0.250543803,4.787020469,0.148849756,3.835681915,0.091475002,0.009036,3.835681915,0.023515232,0.072934218,0.238536835,0.610374893,0.000334024,0.000968933,0.063537598,5.376159394,5.223630726,0.152528668,8.34E-07
img009991.jpg,0.285463244,1.470305261,0.075571274,5.718874931,-0.054776002,-0.073123999,5.718874931,0.044705201,0.017856665,0.281374931,0.418713461,0.00207901,0.001849174,0.076416016,5.144038664,4.913845108,0.230193555,1.61E-06
img014289.jpg,0.311485916,3.862960334,0.104559023,8.385018349,0.033486001,-0.194284007,8.385018349,0.014335044,0.023141429,0.310294151,0.511288805,0.001543045,0.001833916,0.069946289,5.694751042,5.520405802,0.17434524,4.77E-07
img004460.jpg,0.199154407,7.187261215,0.176449444,3.903330088,-0.003869,0.090051003,3.903330088,0.01445097,0.086674996,0.178720713,7.683408717,0.00113678,0.001470566,0.082763672,5.178862988,4.913817324,0.265045664,1.19E-06
img014076.jpg,0.2175612,7.686262882,0.158472549,8.9424963,-0.018239999,-0.213120997,8.9424963,0.034830071,0.052964747,0.2081213,7.868651985,0.000941277,0.00236702,0.057769775,5.551275457,5.323620623,0.227654833,8.34E-07
img005970.jpg,2.579830647,17.14085662,0.396214731,26.54273033,0.151482999,1.443698049,26.54273033,0.221856534,0.469088674,2.527105331,1.392662872,0.029937744,0.02822876,0.615722656,5.567522091,5.4022526,0.165269491,5.96E-07
img009897.jpg,0.153986439,8.571200121,0.173349086,6.476808071,0.020863,0.275656998,6.476808071,0.012828406,0.076438248,0.133058071,0.947079046,0.001312256,0.000955105,0.056335449,5.4894248,5.345377526,0.144047274,5.96E-07
img014682.jpg,0.055483289,6.543073631,0.124465949,5.399541855,0.199817002,0.065554999,5.399541855,0.003796279,0.019283868,0.051885605,6.45244385,0.000685215,0.000700474,0.042297363,5.359500059,5.219032356,0.140467704,5.96E-07
img006127.jpg,0.12483903,7.673411882,0.146295503,10.08298683,0.202960998,-0.394250005,10.08298683,0.023113221,0.064246088,0.104513168,3.872675424,0.001818657,0.002552032,0.072753906,5.206315506,5.020070578,0.186244928,1.25E-06
img008407.jpg,0.16564098,18.0708825,0.351508874,4.582980156,-0.181908995,-0.044780001,4.582980156,0.101281554,0.036274686,0.125948906,1.489871618,0.00049305,0.000670433,0.026367188,5.572945018,5.35826794,0.214677077,1.01E-06
