Image_Name,Loc_Error(m),Ori_Error(deg),ESA_Score,GT_Distance(Z),GT_X,GT_Y,GT_Z,Loc_Error_X,Loc_Error_Y,Loc_Error_Z,Ori_Encoded_Error,Loc_Aleatoric_Unc_X,Loc_Aleatoric_Unc_Y,Loc_Aleatoric_Unc_Z
img004657.jpg,0.512125731,5.225687661,0.168048926,6.656291008,-0.089777,0.318908989,6.656291008,0.10956382,0.124938667,0.484416008,1.672529553,0.052490234,0.018310547,0.116638184
img001637.jpg,0.210945815,8.061892551,0.149941061,22.8368969,0.416087002,0.342325985,22.8368969,0.097727627,0.185343564,0.024396896,2.320568083,0.051177979,0.046966553,1.174804688
img006282.jpg,0.189326093,9.746699582,0.179763252,19.6071701,-0.466437995,-0.397073001,19.6071701,0.074836433,0.123147219,0.122795105,7.868453056,0.045074463,0.018310547,0.547851563
img014238.jpg,0.384345978,5.647243094,0.124077441,15.0476017,-0.219530001,-0.664159,15.0476017,0.19892703,0.002537906,0.3288517,3.657695647,0.021835327,0.02583313,0.278808594
img012015.jpg,0.129874066,6.476792194,0.120667092,17.02290726,0.418624997,0.317027003,17.02290726,0.049636722,0.028187841,0.116657257,1.982211397,0.019348145,0.025421143,0.81640625
img011742.jpg,0.13800633,4.476517508,0.093065797,9.239779472,0.053888999,0.01688,9.239779472,0.113459311,0.069492303,0.036654472,3.457685937,0.018310547,0.018310547,0.096740723
img007730.jpg,0.150500894,3.741069205,0.104519777,3.835681915,0.091475002,0.009036,3.835681915,0.148515224,0.01660436,0.01783371,0.610374893,0.020187378,0.023422241,0.025238037
img009991.jpg,0.335353166,4.912933299,0.144379087,5.718874931,-0.054776002,-0.073123999,5.718874931,0.130892947,0.004642554,0.308718681,0.418713461,0.018310547,0.018310547,0.024353027
img014289.jpg,0.292156696,5.380127203,0.128734007,8.385018349,0.033486001,-0.194284007,8.385018349,0.007682212,0.054861501,0.286856651,0.511288805,0.018310547,0.018310547,0.152709961
img004460.jpg,0.127629831,5.587585234,0.130210724,3.903330088,-0.003869,0.090051003,3.903330088,0.009179058,0.119469948,0.043955088,7.683408717,0.018310547,0.018310547,0.057525635
img014076.jpg,0.076039374,6.232174092,0.117272674,8.9424963,-0.018239999,-0.213120997,8.9424963,0.075277351,0.010362208,0.0028162,7.868651985,0.018310547,0.018310547,0.086364746
img005970.jpg,2.835148573,16.64955428,0.397244662,26.54273033,0.151482999,1.443698049,26.54273033,0.324102938,1.305270314,2.495855331,1.392662872,0.10748291,0.200073242,1.377929688
img009897.jpg,0.411269605,5.320125271,0.156294748,6.476808071,0.020863,0.275656998,6.476808071,0.030079309,0.189963639,0.363526821,0.947079046,0.018310547,0.018310547,0.033813477
img014682.jpg,0.29106015,6.424225351,0.165987648,5.399541855,0.199817002,0.065554999,5.399541855,0.028430283,0.031429864,0.287958145,6.45244385,0.018310547,0.018310547,0.032653809
img006127.jpg,0.277408302,2.7222752,0.074998612,10.08298683,0.202960998,-0.394250005,10.08298683,0.105876893,0.179968745,0.182638168,3.872675424,0.018310547,0.018310547,0.120361328
img008407.jpg,0.447339445,10.97167437,0.289019242,4.582980156,-0.181908995,-0.044780001,4.582980156,0.13320294,0.016459689,0.426730156,1.489871618,0.018310547,0.018310547,0.024353027
img002956.jpg,0.256686091,4.25321728,0.098272163,10.67677116,-0.026494,-0.136194006,10.67677116,0.001948383,0.043786779,0.252916336,1.182982574,0.018310547,0.018310547,0.188232422
img014216.jpg,0.122184753,11.65842172,0.21995078,7.416178226,-0.052290998,-0.118125997,7.416178226,0.034529768,0.113441385,0.029459476,5.510543262,0.018310547,0.018310547,0.072998047
img005073.jpg,1.925563335,11.01047241,0.493604675,6.361178875,-0.275494009,0.515483975,6.361178875,0.117657095,0.085308194,1.920071125,7.784383673,0.110473633,0.186401367,0.367919922
img014971.jpg,0.108847111,9.342534237,0.175391608,8.823944092,0.150171995,0.013638,8.823944092,0.0315907,0.064541318,0.081756592,6.468443995,0.018310547,0.018310547,0.130126953
img007907.jpg,0.875553191,18.48985142,0.376490984,16.27799988,-0.160540998,-0.163135007,16.27799988,0.157123029,0.315600812,0.801437378,3.759229824,0.020507813,0.018310547,0.378173828
img005829.jpg,0.112570517,5.126459099,0.119474126,3.7492311,-0.031098999,0.148090005,3.7492311,0.084867798,0.072894692,0.01248765,1.653704484,0.018310547,0.018310547,0.018890381
img002527.jpg,0.303679317,10.46136447,0.226632468,6.873809814,-0.192368999,-0.496540993,6.873809814,0.013291851,0.290608376,0.087127686,3.465826669,0.018310547,0.018310547,0.133178711
img005202.jpg,0.485218853,6.483076395,0.144100023,15.67495823,0.306730986,0.042507999,15.67495823,0.313386202,0.295437694,0.223479271,5.466032199,0.018310547,0.022003174,1.01953125
img009034.jpg,0.779242456,5.771088511,0.161391009,12.83358383,-0.514163017,0.144188002,12.83358383,0.365237236,0.138694838,0.674228668,1.023345259,0.022186279,0.018310547,0.369384766
img012517.jpg,0.227829963,12.03169241,0.235230483,9.025213242,0.009142,-0.194708005,9.025213242,0.18470566,0.130975589,0.025213242,6.952750938,0.018310547,0.018310547,0.098632813
img005539.jpg,1.059983015,11.4985509,0.25692378,18.81665802,-0.322618008,-1.051287055,18.81665802,0.382218838,0.301252007,0.94165802,6.407870463,0.023147583,0.056182861,0.323486328
img002552.jpg,0.096735574,8.91923924,0.159785162,23.50519371,0.137217,-0.30972001,23.50519371,0.073232219,0.047512978,0.04168129,6.966142378,0.069946289,0.069274902,0.624511719
img010836.jpg,0.157319427,16.88812084,0.308407946,11.49370193,-0.038258001,-0.79638797,11.49370193,0.071971491,0.039061248,0.134326935,7.611714783,0.040161133,0.109375,0.318359375
img002547.jpg,0.238163471,10.37243114,0.218852445,6.296340942,-0.007643,0.114895001,6.296340942,0.018141046,0.059353009,0.229934692,7.828832836,0.018310547,0.018310547,0.024841309
img006055.jpg,0.154948831,6.405426109,0.12218217,14.91161919,0.128161997,0.432577014,14.91161919,0.055065542,0.131795764,0.060056686,7.470040438,0.018310547,0.018310547,0.337646484
img013059.jpg,0.726001084,10.91494282,0.262614049,10.06191254,0.224393994,-0.254718989,10.06191254,0.00351128,0.005046636,0.725975037,5.355329774,0.018310547,0.018310547,0.14050293
img006969.jpg,0.53477639,12.72200853,0.333360307,4.788400173,-0.195721999,-0.333425999,4.788400173,0.158734694,0.174856663,0.479806423,1.222035782,0.018310547,0.059356689,0.126098633
img009590.jpg,0.241191193,17.01693991,0.326397102,8.189596176,0.454133987,0.216910005,8.189596176,0.106477737,0.056753755,0.208841324,0.42612491,0.018310547,0.018310547,0.109619141
img001345.jpg,0.646876574,4.426571323,0.136404999,10.91118145,-0.173191994,0.727903008,10.91118145,0.020237893,0.036008477,0.64555645,1.977862915,0.018310547,0.018310547,0.360107422
img009503.jpg,0.159687743,5.939058658,0.124551443,7.635028839,-0.293060005,0.157518998,7.635028839,0.120025933,0.093187943,0.049091339,3.516501336,0.018310547,0.018310547,0.052368164
img004127.jpg,2.139852524,8.520690018,0.232078932,25.61272621,-1.684430003,0.155746996,25.61272621,1.180523753,0.57127434,1.690851212,0.698852683,0.457275391,0.376953125,2.30078125
img004862.jpg,0.288814425,11.16242448,0.223508906,10.05208778,-0.446873009,-0.331770986,10.05208778,0.027248085,0.132430166,0.255212784,0.549650669,0.034088135,0.018310547,0.2421875
img000738.jpg,0.229055107,6.056686468,0.133500943,8.237360954,-0.265345007,-0.054896001,8.237360954,0.217249304,0.059168462,0.042048454,5.623483855,0.018310547,0.018310547,0.065429688
img007237.jpg,0.324689329,2.466739681,0.089882117,6.925882816,-0.32388401,0.00196,6.925882816,0.048186302,0.219367221,0.234476566,2.745181734,0.018310547,0.018310547,0.051177979
img014000.jpg,0.935552716,13.82455987,0.306860879,14.25047207,0.231524006,0.63566798,14.25047207,0.073895916,0.138109386,0.922347069,4.406363354,0.018310547,0.018310547,0.386962891
img011420.jpg,0.861695409,7.831733959,0.180865139,19.49085808,0.048838001,0.77046299,19.49085808,0.480966896,0.217728615,0.681016922,6.565297359,0.111999512,0.087524414,1.80859375
img008919.jpg,0.325470418,7.741804273,0.191639397,5.757723808,-0.047249999,0.085928999,5.757723808,0.108877927,0.036002241,0.304598808,7.167073737,0.018310547,0.018310547,0.035430908
img014258.jpg,0.384824038,5.237510718,0.109342756,21.46141624,-0.034548,0.000611,21.46141624,0.028928563,0.251830399,0.289541245,2.439618707,0.018310547,0.021240234,0.672851563
img009123.jpg,0.430159926,17.05355485,0.351794694,7.92689085,-0.105593003,0.498782009,7.92689085,0.051637925,0.12817654,0.4073596,7.865964306,0.018310547,0.018310547,0.119445801
img005783.jpg,0.67701304,11.67408078,0.243539646,16.99893379,-0.496762991,-0.556538999,16.99893379,0.024233103,0.214457095,0.641691208,7.565992643,0.06137085,0.025131226,0.683105469
img008745.jpg,2.253051519,11.11294488,0.279832311,26.22682762,-0.670225024,-0.236916006,26.22682762,0.19610393,0.867576182,2.070047379,2.526930723,0.224853516,0.422607422,0.817871094
